SqFt,Bedrooms,Age,Price
4299.0,1,8.0,698263.6640776361
3356.0,3,36.0,569811.6078822453
,5,19.0,357386.40434331447
834.0,1,25.0,181098.838038841
3053.0,2,28.0,482023.7878312682
3952.0,4,0.0,701726.3516170729
2755.0,1,34.0,421093.94156841614
2385.0,1,5.0,440756.15183947154
4259.0,3,36.0,739862.2674516385
3873.0,5,4.0,724061.0156292506
1821.0,4,32.0,361373.5655361998
4261.0,2,13.0,714951.0432622636
3413.0,4,11.0,651987.5660521638
1929.0,2,19.0,338002.93731618853
2300.0,5,23.0,472167.3796546957
1502.0,2,33.0,295203.9525956486
3249.0,3,24.0,578571.8833987969
,3,28.0,616741.6323319749
2379.0,3,38.0,441270.92185134283
961.0,3,,164085.35414001526
1001.0,4,22.0,267307.50639061816
2781.0,5,37.0,509668.4863374515
1795.0,2,19.0,299837.34206287086
3117.0,2,22.0,541374.0519904996
1615.0,3,15.0,361723.1709032592
4142.0,3,7.0,720151.0297074461
1255.0,1,20.0,253307.49094405878
4333.0,5,0.0,832195.5651597729
2075.0,4,7.0,459148.289071681
1816.0,2,,361599.29058742785
3143.0,1,31.0,519092.54982143786
3567.0,1,37.0,562158.6727780319
1137.0,2,4.0,223710.68376205664
1678.0,4,21.0,351578.75023740105
1876.0,1,33.0,294935.0680936762
1591.0,1,0.0,352068.85434995627
3064.0,5,25.0,576082.2837513533
1563.0,4,9.0,356114.0961356897
3035.0,1,29.0,501479.7075208094
,4,17.0,287322.0489274491
1292.0,2,16.0,298501.020808615
3912.0,3,25.0,654347.0127653109
1980.0,1,7.0,362492.14910474484
2862.0,5,39.0,517650.588286039
864.0,2,11.0,179999.54977558588
3368.0,4,26.0,591764.6181818943
2167.0,2,7.0,405909.26405903173
1952.0,1,24.0,325413.9555096548
2827.0,4,3.0,536601.5804025229
3495.0,3,32.0,567723.6507265633
2295.0,2,0.0,432587.8885474261
3934.0,1,18.0,608405.5925193799
1962.0,5,30.0,423501.119273792
2322.0,4,15.0,461948.79505869007
3440.0,2,13.0,561248.9700107013
1191.0,2,4.0,257665.81845900274
,3,25.0,439656.87188818835
1218.0,3,27.0,266683.4902083836
3136.0,5,1.0,646009.0089204629
1178.0,5,5.0,283196.5506070851
2596.0,1,,452100.52158294833
4361.0,1,32.0,682547.3440886672
3078.0,5,,596326.8015290094
3865.0,5,12.0,719613.9325647538
2888.0,4,8.0,538560.6133652236
3899.0,3,12.0,674068.9212866677
2982.0,1,30.0,465379.4828639302
1000.0,3,10.0,269520.142771972
2663.0,3,3.0,506276.23297343886
1579.0,5,33.0,385273.8137150601
3777.0,4,37.0,650936.7837237075
3904.0,2,3.0,657831.8646617908
3919.0,4,37.0,643175.7121477434
1302.0,4,18.0,267637.2064748811
3254.0,3,5.0,560417.2811398902
4445.0,4,33.0,762492.5330202297
2551.0,1,17.0,442424.50046459865
1604.0,3,12.0,304576.1859593573
2946.0,1,22.0,503400.76628152234
3531.0,2,18.0,588388.7789663312
2695.0,3,10.0,505185.860239711
3573.0,2,0.0,658194.4125651085
2370.0,3,23.0,455836.78631731065
1760.0,5,6.0,401429.38704188337
3460.0,4,24.0,602376.1554916942
2285.0,5,,425713.6919734139
3490.0,2,14.0,582316.9336151516
1828.0,4,,399977.39522344613
4089.0,3,11.0,690406.4094569763
,4,,315474.8606581539
3614.0,1,14.0,596837.0376591753
1197.0,4,20.0,281052.8803638384
1670.0,1,18.0,285899.94838353083
3642.0,4,28.0,646073.0934393345
1192.0,1,24.0,228838.81299138817
1006.0,2,32.0,180692.01845114309
,5,31.0,416718.64759492537
2681.0,3,34.0,469378.23735431477
4425.0,4,37.0,749726.992458897
3739.0,5,25.0,695014.2884651312
2284.0,3,10.0,445264.32262527006
4446.0,3,34.0,755162.7326782648
1663.0,1,7.0,316792.4833040365
3590.0,2,13.0,600651.2525071913
4112.0,2,9.0,703230.0705041221
1363.0,5,1.0,330375.47585358674
1820.0,2,,355571.19411553047
895.0,4,2.0,261185.4001871108
2723.0,2,20.0,470287.6628545492
2557.0,5,25.0,500979.24977122137
3332.0,2,7.0,543763.0190900472
4278.0,4,1.0,759525.5018451808
3078.0,1,5.0,527556.8980228223
3596.0,5,27.0,660197.127839948
2478.0,1,28.0,387546.49718148087
4042.0,1,25.0,671614.156817294
1340.0,1,24.0,224876.50303571
1859.0,3,11.0,395039.14401053474
3372.0,3,4.0,619543.8872374337
1983.0,1,33.0,314925.4538031239
2522.0,5,36.0,520606.21785219025
4114.0,4,14.0,706427.2633648705
3957.0,4,35.0,699933.0834722
2619.0,2,14.0,486061.64636085957
3425.0,5,22.0,623937.5958184671
3529.0,3,5.0,661199.3060012866
3404.0,1,20.0,551599.0697080209
2397.0,2,,428923.87258559716
3860.0,4,15.0,696206.4367754244
3493.0,3,14.0,614463.825170589
1595.0,3,24.0,336666.16546319565
1851.0,1,35.0,321519.77441104426
2443.0,4,,449479.36053523637
4427.0,5,14.0,823336.804857563
2163.0,3,3.0,397600.1602392865
2781.0,1,20.0,483800.92408683314
2154.0,5,12.0,481234.10273655166
2463.0,4,21.0,452430.67139569606
2329.0,3,18.0,429533.7142409083
2838.0,5,33.0,513985.9066302813
4219.0,5,,762951.5793942253
,5,3.0,484639.3143162852
4102.0,3,26.0,709693.2106453868
3037.0,3,28.0,558156.1749223921
4096.0,2,27.0,699913.6762157991
2208.0,4,34.0,409156.639468434
2200.0,1,7.0,387415.56252510945
,5,15.0,414231.236155581
3480.0,2,35.0,553882.5986700762
3475.0,1,29.0,575747.0326619492
1772.0,2,17.0,367711.65647096466
2568.0,3,1.0,469313.02256240154
2082.0,5,,436050.7148169421
4230.0,1,,700371.8848608214
1509.0,1,25.0,271953.22317639214
2279.0,1,24.0,366857.9296015671
2234.0,1,29.0,378781.2208892818
1448.0,1,10.0,265723.2130585817
1117.0,2,6.0,250060.9545824344
4096.0,5,30.0,739325.684960074
2057.0,3,9.0,407878.44539621874
1483.0,3,38.0,278122.2821894686
1463.0,3,,312857.8039214834
2798.0,3,30.0,491932.7408158933
4245.0,2,6.0,712149.7794023574
2431.0,4,35.0,447474.07874665793
2295.0,5,19.0,503422.94341009436
4104.0,1,3.0,693218.3889588248
1936.0,4,6.0,407290.3936394168
2653.0,3,0.0,521889.0880902147
2320.0,4,12.0,456923.6102048798
3289.0,5,21.0,641612.4927517328
1363.0,1,20.0,257842.8438439619
2091.0,1,21.0,356303.9571199154
4381.0,5,27.0,783704.3385162055
4257.0,5,8.0,747532.47695863
4258.0,3,25.0,696164.650621804
3984.0,1,8.0,634121.4998720189
2436.0,4,14.0,481458.86189527414
4496.0,2,9.0,788250.2999897018
3799.0,2,23.0,676876.0029238526
3952.0,5,7.0,747161.0220288151
1498.0,3,23.0,317116.88949888916
2960.0,2,15.0,479978.8453169452
801.0,1,25.0,149296.52400531957
1441.0,5,26.0,319194.3249618352
3067.0,4,,534433.0480349776
2389.0,5,3.0,501387.1236283042
1654.0,4,23.0,341058.18844605744
2559.0,5,18.0,472664.00379248423
4096.0,5,35.0,737358.2051223507
3232.0,5,38.0,567745.1394852039
4274.0,4,9.0,765084.937282223
2461.0,4,24.0,511831.65339499945
1953.0,5,17.0,404162.30816827156
1876.0,2,18.0,299194.2495450734
2507.0,3,35.0,438329.9155623978
3577.0,3,9.0,657769.1926999714
2495.0,3,32.0,485016.94908441184
2533.0,4,,480559.00811095163
2239.0,4,34.0,434983.9844647304
3094.0,2,,505193.79086439894
1635.0,3,32.0,314731.03291391727
4310.0,3,20.0,785386.8669403407
1002.0,5,16.0,251040.59343209694
4055.0,4,21.0,718124.7932298915
922.0,3,36.0,214453.86343530868
1200.0,2,14.0,274915.72649878694
1566.0,2,34.0,286059.66306941793
1093.0,3,27.0,247711.01079008204
3127.0,4,6.0,584017.0286515641
3731.0,2,31.0,617832.5388249021
4481.0,5,10.0,803286.1544900518
997.0,2,9.0,241181.437797121
3829.0,1,8.0,627357.7932791273
2730.0,1,,471442.00787804375
4382.0,4,12.0,772314.7437263004
3599.0,3,24.0,643571.0050154433
2991.0,4,1.0,576422.1255282303
1408.0,4,34.0,264939.3506358624
4072.0,4,6.0,758838.4300142798
1947.0,4,20.0,379935.35398274765
986.0,5,17.0,264424.6732270236
4197.0,5,2.0,765236.7741191301
3311.0,2,38.0,568538.7618634163
4220.0,1,10.0,648286.5157204261
2594.0,4,38.0,536254.9706731999
1459.0,2,23.0,302371.13618132105
3611.0,1,18.0,594514.7782825832
3802.0,3,3.0,675602.1199876743
2755.0,5,25.0,538961.0814971532
3250.0,1,37.0,523522.4485675868
2169.0,3,31.0,411054.31171900115
2786.0,1,38.0,453412.08932006895
2334.0,5,35.0,459891.613625105
946.0,5,39.0,241153.23159385347
4019.0,2,36.0,646624.5343269297
3711.0,4,32.0,644351.8343929463
,1,35.0,430775.4019373413
2643.0,1,2.0,475921.1344456172
1288.0,3,8.0,234792.2273067144
3776.0,5,7.0,721118.0155305952
2759.0,1,32.0,449344.7238943755
2463.0,5,5.0,513075.82487108203
3398.0,1,38.0,526329.6309382223
3185.0,2,3.0,586632.2543997202
3719.0,4,12.0,692400.5292424571
1440.0,1,1.0,269342.44664352783
2602.0,5,4.0,543641.0457424907
3320.0,2,26.0,537366.8653091743
2769.0,1,31.0,420557.63670422137
2998.0,3,20.0,523165.6555082007
2238.0,4,7.0,474547.86944765516
4169.0,1,37.0,670012.5009075217
2434.0,2,7.0,456961.7084019459
1062.0,3,2.0,281401.91573695996
2587.0,2,2.0,485973.5657422992
2991.0,2,21.0,500620.36809554097
3193.0,3,5.0,591588.4508934788
1423.0,2,1.0,318258.1905045536
1816.0,3,22.0,371085.8265962715
4443.0,1,1.0,759028.2674294929
1680.0,3,37.0,331766.0769440213
2849.0,3,16.0,525178.9641508317
3744.0,4,34.0,672203.0047663285
2127.0,3,33.0,388919.5748150188
3101.0,3,22.0,531112.5069754457
1252.0,1,29.0,219738.66072112473
3908.0,4,,692901.947103871
1983.0,5,21.0,408746.4345005124
3862.0,1,35.0,604409.6265856896
2856.0,1,4.0,477751.6015800008
4104.0,5,12.0,745040.7694072193
3970.0,3,28.0,634027.7066609242
2482.0,2,30.0,430565.87414745876
3663.0,4,15.0,661474.1095072445
3055.0,2,29.0,497108.2273786362
1954.0,5,15.0,438284.9133686481
1203.0,1,11.0,256001.40275253117
,1,16.0,468498.8027126205
2901.0,4,15.0,531895.5044286757
3991.0,1,11.0,640067.153004254
2496.0,1,7.0,417201.93797782273
1427.0,4,19.0,337839.49683863495
1386.0,4,2.0,331623.4772245439
2448.0,5,15.0,493909.7031737878
2243.0,1,29.0,331572.75271186495
2245.0,1,22.0,393058.3606041845
903.0,5,27.0,228264.83210293055
1053.0,3,39.0,222348.65260532656
4098.0,3,4.0,725447.5387591638
3983.0,3,19.0,711863.1719167731
3357.0,5,39.0,580573.5920176178
2296.0,1,0.0,354009.7568835835
898.0,5,29.0,253576.9908950739
3000.0,5,20.0,612010.2236302171
2684.0,3,19.0,514578.9270587887
3761.0,2,5.0,652343.1883054925
2719.0,1,21.0,442817.27628735907
1677.0,3,17.0,357292.4519327462
1137.0,2,7.0,232679.07600591064
3669.0,2,38.0,604277.1553871244
4034.0,4,31.0,708009.4031833325
1756.0,1,32.0,316204.1981499776
2504.0,2,15.0,502793.20077822154
960.0,3,11.0,248648.31934357533
2403.0,4,37.0,435870.72748585005
3648.0,1,33.0,577088.5137561602
1197.0,5,13.0,278568.4819022176
2100.0,3,35.0,369105.73737821885
1615.0,2,32.0,285664.3512377379
2327.0,2,22.0,402168.23204130813
2719.0,3,1.0,519697.09744067444
,2,20.0,381801.60135235597
1958.0,4,1.0,444920.61334648944
2018.0,1,26.0,341504.1412983639
1200.0,4,8.0,300213.9935772277
1439.0,2,0.0,299292.10566974164
,5,10.0,726703.8136771796
,1,2.0,614351.9652933527
1259.0,1,22.0,215107.395685782
1754.0,3,25.0,329937.67021849484
1269.0,3,3.0,290675.4794244667
,5,17.0,739582.5815305357
1845.0,1,,324364.84280557005
3597.0,5,34.0,639225.5825291069
2493.0,3,21.0,476237.78361425456
2885.0,3,14.0,531201.2265800386
3077.0,1,21.0,510221.79822735087
4236.0,4,36.0,739217.9592433595
1362.0,2,11.0,278352.5642320121
3285.0,3,37.0,566159.2969985778
2599.0,3,17.0,477385.5649413501
4154.0,4,34.0,717607.2469879925
2874.0,4,29.0,514644.8268477684
,5,23.0,227373.65683447142
4148.0,5,29.0,734714.416756274
1597.0,2,13.0,342404.9627219988
4480.0,2,5.0,774524.3080448319
3131.0,1,2.0,556557.9496918235
3726.0,5,15.0,715622.6144361243
1759.0,3,6.0,368423.1518192288
2304.0,5,13.0,483946.3141481119
1252.0,3,8.0,275846.962091313
3867.0,4,14.0,686928.542879459
1615.0,5,20.0,380565.42299542285
1458.0,4,34.0,331977.6887433763
4387.0,2,1.0,744061.07448638
1346.0,2,26.0,251696.21470297177
2015.0,1,1.0,371060.559177132
3920.0,5,34.0,709224.1349785823
4383.0,4,17.0,738172.9036773292
816.0,3,,170876.38093725522
4043.0,2,19.0,662639.2630101683
2043.0,2,17.0,351635.7514817168
3005.0,3,9.0,539787.1960470538
3324.0,4,24.0,596844.3936236505
1869.0,4,1.0,400085.0318195397
4244.0,5,24.0,786849.3506894149
3365.0,5,32.0,622884.8952920464
2946.0,1,35.0,475909.48719221656
2568.0,2,30.0,451644.14288086805
,5,13.0,390623.3376443846
3127.0,4,0.0,619832.2357484053
4220.0,3,15.0,723484.7142692908
3344.0,4,2.0,642609.6123448242
1101.0,2,34.0,192912.8553391969
980.0,4,5.0,239924.8246796787
1406.0,1,24.0,268457.7931605006
3970.0,2,12.0,678628.1905219504
1499.0,3,33.0,277208.9689128498
1792.0,1,7.0,313006.7383745061
1939.0,2,20.0,379358.6956882954
990.0,3,33.0,195111.76214265343
3100.0,1,3.0,564253.4590651193
1780.0,1,24.0,290187.58530704264
3775.0,2,14.0,652217.8385121677
2806.0,5,3.0,560727.6304850203
1984.0,1,11.0,366463.74862164684
4127.0,1,31.0,640967.7199577162
4194.0,3,31.0,698644.1418785541
927.0,4,27.0,237468.38350791443
2865.0,2,12.0,485306.2508843705
,2,30.0,461216.4869084025
2558.0,5,13.0,507835.7286705683
,5,19.0,634578.0016931996
1369.0,2,17.0,255063.01250782976
2146.0,5,28.0,387053.3268240938
2695.0,3,,504429.44474799663
3533.0,2,31.0,631002.3084322583
1425.0,5,28.0,345842.08575796045
4159.0,2,1.0,712264.7924053121
3701.0,4,,653492.1834158347
2486.0,1,18.0,421749.3178562409
3809.0,2,30.0,636292.3823035042
954.0,1,4.0,184683.7436938231
3337.0,5,18.0,651236.4338933774
2209.0,1,33.0,376057.62630882487
1584.0,2,9.0,331163.71451415867
3975.0,4,24.0,706219.5147761946
4264.0,5,1.0,788792.3331538799
1045.0,2,,248207.2247193364
4047.0,5,30.0,732886.2826748276
3910.0,3,14.0,672619.1857811796
2300.0,1,8.0,393927.96454206196
2505.0,3,22.0,461387.1259052397
3606.0,2,18.0,640280.4030299038
1337.0,4,8.0,296167.858486922
2690.0,5,34.0,483349.4946849512
2641.0,1,20.0,445445.21682473033
1720.0,5,8.0,399417.7540371204
3255.0,2,27.0,549316.8332874081
1324.0,5,6.0,346279.06395817
3675.0,1,15.0,598785.9549073039
2329.0,2,15.0,451147.26877204166
3750.0,5,32.0,642081.9204304697
835.0,4,3.0,235080.0595043951
1484.0,2,3.0,306934.90479701903
819.0,2,38.0,134386.22377691665
3168.0,4,39.0,554882.9119113586
3359.0,3,16.0,627879.4033145604
1199.0,1,,207067.72976591924
3501.0,3,38.0,594164.0181143737
1771.0,5,28.0,356846.7046965484
2706.0,4,35.0,481572.7718392105
3318.0,3,37.0,555796.0723935212
1966.0,2,38.0,332945.6980648753
1915.0,5,36.0,419682.87590007536
4225.0,5,34.0,754103.8212145024
1633.0,3,6.0,325520.8408612594
2623.0,3,26.0,477180.0955686401
3574.0,4,27.0,643664.4349699357
2782.0,1,21.0,484902.98077042535
1653.0,3,13.0,373960.81373136747
850.0,3,6.0,209998.11616344264
1374.0,2,36.0,236682.84977579323
,5,21.0,708798.4428217077
1948.0,1,4.0,352719.6028178604
2997.0,2,1.0,547677.1674889267
3161.0,4,26.0,592696.690331782
3417.0,4,20.0,617030.9795271496
4213.0,3,37.0,691153.0495349031
3152.0,3,14.0,569035.1598449748
,4,20.0,466547.1419673995
1481.0,3,9.0,363140.7744338955
1637.0,1,22.0,256996.77945763883
1877.0,3,38.0,349644.8115779145
3850.0,5,4.0,763172.1243845928
3291.0,3,0.0,603785.9968912
3460.0,2,12.0,590799.2192999701
3840.0,1,20.0,614851.0915437915
3111.0,2,25.0,523042.1663647519
3924.0,2,20.0,682056.9694935306
2395.0,5,17.0,444612.76177340985
3851.0,1,36.0,635118.6740259265
4491.0,1,31.0,677970.8569509971
804.0,1,35.0,143266.9534153117
1926.0,1,16.0,331115.1115940268
2019.0,1,34.0,343821.06539541436
1573.0,5,10.0,341987.51296232507
1676.0,3,20.0,346643.45332163887
1791.0,2,25.0,369136.19246573705
3731.0,1,3.0,598786.5199081438
4221.0,3,33.0,707344.123352208
846.0,3,17.0,203260.35644406782
3714.0,2,39.0,608817.7441238607
3670.0,5,34.0,660082.9555483151
3783.0,4,28.0,651020.2618191139
3503.0,4,28.0,631607.4456974214
1068.0,3,37.0,261886.96219573487
1169.0,2,20.0,237531.92416545402
1435.0,4,12.0,345245.15884296363
1929.0,3,16.0,354284.5408425767
2493.0,5,8.0,495221.27246363985
2482.0,4,0.0,511748.12555760756
1456.0,3,1.0,356882.3205707193
919.0,3,28.0,221362.2669757132
,1,32.0,269838.83938953694
2610.0,5,9.0,530685.828108467
4475.0,1,39.0,669441.8453206057
1881.0,2,20.0,360240.3065271073
2774.0,1,27.0,471346.6612464682
2169.0,1,10.0,374308.1933433384
1540.0,4,33.0,311999.15704480995
4345.0,3,7.0,758667.564593041
916.0,5,21.0,253465.60527918808
2653.0,1,7.0,458227.34770748357
3638.0,5,14.0,720894.4357833304
,1,16.0,338359.4859850801
4264.0,2,22.0,696033.1969595755
2731.0,1,23.0,439099.1638872968
1812.0,4,18.0,395083.8394299987
2464.0,3,4.0,471175.51653563796
1881.0,2,31.0,321962.5392335715
1433.0,1,0.0,311376.0806454602
1312.0,5,22.0,348792.06009027275
3649.0,2,36.0,582141.5286852259
1919.0,2,7.0,332119.2009727877
1941.0,1,12.0,366900.2737967385
1359.0,2,7.0,271757.4034847999
4472.0,5,22.0,810212.5119832554
1287.0,2,0.0,243647.92364576328
4108.0,5,23.0,756451.9467659862
1696.0,1,34.0,259376.56141438437
4143.0,3,23.0,718465.2823813305
2012.0,2,16.0,372885.4613567287
1503.0,3,4.0,311571.2116120671
2270.0,5,19.0,459559.27374146436
1380.0,2,20.0,286726.369139134
3637.0,4,39.0,630867.8890623046
3708.0,3,30.0,641888.2596094497
3094.0,2,35.0,551628.8116903097
3947.0,3,10.0,658765.167765779
953.0,2,14.0,248494.25149937248
,1,18.0,422337.1187504643
4306.0,3,,730724.3190335374
1796.0,4,27.0,340393.7274852202
3957.0,4,4.0,714967.5921844593
3544.0,5,4.0,695233.0022384892
4156.0,2,29.0,676049.0175924493
2043.0,3,31.0,409473.098604947
1892.0,5,7.0,396376.48619896884
3918.0,3,9.0,686658.2210430789
1808.0,2,37.0,291752.13111173763
2941.0,4,31.0,541222.6376524994
2573.0,1,27.0,441287.747801946
1757.0,4,,365934.7641263789
3859.0,5,30.0,640765.7228674573
1252.0,1,7.0,253378.96293592989
2027.0,5,39.0,415984.7710346702
3759.0,2,24.0,633135.895099234
3065.0,1,8.0,544865.6438364431
3321.0,5,1.0,625528.926407019
3279.0,2,14.0,578654.322109009
3188.0,4,2.0,629650.1502495594
1350.0,2,35.0,214928.24831986966
2435.0,3,,478043.0365183795
2112.0,2,13.0,381116.4033798466
4125.0,2,24.0,678319.546537967
2557.0,3,9.0,489703.52967076673
1156.0,5,20.0,289655.42871772894
2870.0,5,35.0,524985.8384167678
2585.0,2,11.0,465233.0483497605
3369.0,3,26.0,562405.081222744
2581.0,3,39.0,428633.4974222963
3971.0,4,1.0,738037.46565913
3649.0,5,12.0,659974.1192968269
4051.0,1,31.0,653776.2500181842
4094.0,5,30.0,737351.825857079
,5,15.0,638833.8654241881
3289.0,4,31.0,572598.7069532869
2431.0,1,31.0,421332.18806094746
3616.0,4,33.0,613176.6893772064
1815.0,1,10.0,320961.91475381225
2148.0,2,9.0,410641.2178650379
1315.0,1,14.0,266117.8101856519
3887.0,4,16.0,688819.2222791101
3639.0,5,39.0,637099.7961061671
1135.0,1,17.0,248297.39723397017
2582.0,1,8.0,482477.9932759516
3105.0,3,24.0,566527.1610156359
1296.0,5,39.0,299306.3628513005
1695.0,2,13.0,312484.68556718144
3007.0,4,24.0,535641.1118688687
4346.0,2,21.0,727150.2821053151
1651.0,5,,371217.96441777365
2487.0,1,19.0,448281.97185892856
2731.0,1,20.0,468659.00185072277
3537.0,5,31.0,613288.3939648037
3227.0,1,20.0,551088.9523544584
2368.0,1,34.0,364438.78745371173
1756.0,1,31.0,288520.57456095295
3538.0,4,29.0,630904.0041250339
4298.0,4,38.0,769013.3497956793
2436.0,3,11.0,524398.3711201072
2091.0,2,17.0,395384.46118272364
4448.0,5,20.0,789536.0676255922
2240.0,5,12.0,482290.112969611
1991.0,5,,442403.1085174767
1866.0,3,7.0,375086.64748885616
4427.0,4,39.0,783154.2271182465
1084.0,3,6.0,270001.41518382804
3244.0,5,22.0,620154.8617818279
811.0,2,31.0,187768.48504108924
2430.0,1,10.0,430931.7322122891
4173.0,4,21.0,747528.8100093922
4124.0,4,,711054.9362690615
3346.0,3,24.0,571933.9649210793
1553.0,4,21.0,315746.9153405661
2882.0,5,27.0,558690.0246124045
,5,28.0,668078.7300702423
3696.0,3,12.0,659155.4573230377
889.0,5,17.0,296439.8486669507
1575.0,2,1.0,324938.0796234191
,3,28.0,607574.8331118503
3817.0,2,20.0,616715.9824772137
2425.0,1,14.0,409208.00595051196
3869.0,2,26.0,653060.7551513156
1217.0,1,30.0,233532.0422148629
914.0,1,14.0,184420.66104671636
1416.0,2,22.0,274568.0149628387
4067.0,3,23.0,662092.5250663838
1625.0,5,12.0,372209.41598386783
4372.0,5,21.0,798407.6632703957
,1,36.0,405654.1003221313
2316.0,1,32.0,389013.3144276242
3946.0,3,2.0,700495.4737436192
1212.0,4,18.0,290341.2631725635
4247.0,2,22.0,687443.5772105311
4291.0,1,28.0,694026.5684040507
1528.0,5,29.0,352819.45888778777
4148.0,3,38.0,696440.376959856
3868.0,2,24.0,630879.3031466485
3608.0,3,36.0,564933.1416025751
,2,7.0,324793.0542350739
4265.0,2,15.0,702173.250879832
2692.0,1,7.0,448144.4847191376
3304.0,3,0.0,619469.5782382799
3767.0,3,4.0,662409.7472016175
3039.0,5,2.0,624648.7276809325
3586.0,5,0.0,700240.118991534
1922.0,1,3.0,368371.3864640095
2371.0,1,39.0,351530.8857759893
1777.0,4,34.0,379988.87970772805
1808.0,5,31.0,389225.0106246771
2943.0,2,33.0,484464.45721507596
2487.0,3,24.0,457117.76934684505
3510.0,1,9.0,550175.2953420336
4061.0,3,20.0,703323.0562296134
836.0,3,,169212.56983635857
4240.0,4,26.0,707746.5942831293
2348.0,5,26.0,440552.8162756422
3126.0,1,1.0,559953.7674997984
3064.0,3,12.0,542614.7321261442
3714.0,1,8.0,648174.55419833
1672.0,2,35.0,288083.970738954
2621.0,4,21.0,463802.84084814106
2096.0,2,25.0,352069.5112010268
2909.0,1,11.0,517866.23240013875
1395.0,1,16.0,256932.03644126665
2703.0,5,13.0,528884.2540701879
1528.0,3,13.0,326800.36451705574
2165.0,3,33.0,405185.6547233509
1196.0,2,19.0,268947.97631804924
1498.0,4,10.0,371669.9845978585
3890.0,3,15.0,668304.6270842183
,5,30.0,541079.0462783593
2435.0,2,5.0,440980.6967775345
1195.0,2,18.0,252855.61013165774
3292.0,5,36.0,581324.8214757878
4104.0,4,3.0,722856.9817020991
875.0,5,3.0,284525.7576309977
1064.0,4,19.0,265826.952968591
3302.0,5,9.0,635155.9399082317
2619.0,5,23.0,500080.0933059986
1517.0,1,34.0,252141.98571588466
3582.0,2,25.0,578815.3371146339
4255.0,5,,762853.9682224958
4435.0,5,37.0,791554.986694475
,3,20.0,296576.24275523814
4377.0,2,39.0,681159.7827961518
2190.0,3,38.0,362969.41489819845
943.0,2,20.0,194449.52131186204
1684.0,3,9.0,350131.2406041928
3940.0,5,37.0,667607.0956060294
3970.0,5,3.0,723462.8037374937
1195.0,1,19.0,206370.85255837004
3896.0,3,16.0,679345.3465879789
3795.0,4,6.0,693436.886740725
3738.0,1,3.0,612665.248933255
2292.0,3,28.0,423736.41744278796
4355.0,3,13.0,736716.3983082547
4436.0,1,,727566.8977934789
4022.0,5,23.0,759169.0418059707
1967.0,3,36.0,388659.2210358069
