tenure,monthly_charges,total_charges,contract_type,payment_method,churn
40,93.21845784590624,7193.04,Month-to-month,Mailed check,1
28,45.073066056159774, ,Two year,Mailed check,0
14,83.30980633574475,2426.98,One year,Bank transfer,0
44,69.42738501382715,2328.89,Month-to-month,Mailed check,0
64,77.32943781794006,5901.82,Two year,Electronic check,1
70,103.81069631782958, ,nan,Electronic check,0
8,60.43815015490243,3635.01,One year,Mailed check,0
0,97.09113770642705,1353.58,One year,Electronic check,1
7,62.20360595506874,4722.34,Two year,Bank transfer,0
62,55.38713765612494, ,nan,Mailed check,0
10,115.86271773132205,5443.63,One year,Electronic check,0
7,38.43709206789632,2040.6,Month-to-month,Electronic check,0
34,29.033696057760785,1214.96,One year,Mailed check,0
34,97.09859255354785,6251.31,One year,Electronic check,0
32,26.824970535409157,2087.58,Month-to-month,Mailed check,0
4,103.70789907030294,2496.52,Month-to-month,Electronic check,1
40,63.71933963572435,2652.16,Two year,Bank transfer,0
27,111.5513677291914, ,One year,Electronic check,0
6,92.15328611219056,320.71,Month-to-month,Electronic check,0
71,81.04046670079576,7599.54,One year,Mailed check,1
11,114.93067970577657,106.14,Month-to-month,Electronic check,0
33,59.66493730520543,2261.16,Month-to-month,Mailed check,0
32,115.40869365396331,5312.3,One year,Bank transfer,0
47,33.500127742120696, ,Month-to-month,Mailed check,0
22,68.37549419324128,4917.77,Month-to-month,Mailed check,0
61,46.99112223921949, ,nan,Electronic check,0
36,73.98427789081934,668.35,Month-to-month,Bank transfer,0
43,36.20138778915846,436.08,Month-to-month,Mailed check,1
34,104.15296603100434,1581.8,nan,Electronic check,0
64,104.64078493145573,1546.22,One year,Electronic check,0
46,115.5236312723479,579.93,One year,Mailed check,0
2,35.46721408832362,2330.18,Two year,Electronic check,1
0,82.33325509049908,164.41,Month-to-month,Mailed check,0
4,67.42373087003696,8227.85,One year,Mailed check,1
13,54.43837320442332,2931.62,One year,Mailed check,1
26,55.15401611342188,1392.91,Two year,Bank transfer,0
8,61.27935506067523,2523.98,One year,Mailed check,0
14,90.4925549688953,3560.72,One year,Electronic check,0
41,79.82860582681546,4960.06,Month-to-month,Bank transfer,0
50,65.9681512761131,2693.39,Month-to-month,Electronic check,0
62,27.593341036962208, ,One year,Bank transfer,0
51,27.77653440789571,1433.37,One year,Bank transfer,1
3,20.233939062577825,3743.34,One year,Bank transfer,0
22,116.76993882070865,4568.51,Month-to-month,Bank transfer,1
14,20.525381855838493,857.39,One year,Electronic check,0
42,30.309374601374486,7284.82,One year,Mailed check,0
28,51.45965568094109, ,Two year,Electronic check,1
35,100.74302518167612,6068.89,One year,Mailed check,0
12,116.20987857641177,127.47,nan,Electronic check,0
31,99.00135587918561,2399.25,Two year,Bank transfer,0
70,89.05602324456406,3125.14,One year,Bank transfer,0
58,72.13006674135694,0.0,One year,Mailed check,0
27,28.67052118621836,1443.25,nan,Mailed check,0
65,115.81707930039303,2947.5,One year,Electronic check,0
41,95.83924139456815,7173.65,Two year,Mailed check,1
44,83.89493853342618,1375.26,One year,Electronic check,0
61,95.90358455388498,3339.55,One year,Mailed check,1
56,92.41033292731386,4966.91,Month-to-month,Mailed check,0
5,83.72315797894868,6170.51,Month-to-month,Mailed check,0
27,118.05768001799882, ,nan,Bank transfer,0
27,110.33638126360249,5393.41,One year,Bank transfer,0
43,84.66649191171634,3069.48,One year,Electronic check,1
29,89.31752114569247,2504.44,nan,Mailed check,0
61,25.159580665870998,2605.77,One year,Electronic check,0
61,86.99174645500392,1172.94,One year,Mailed check,0
0,24.41654377101002, ,One year,Bank transfer,0
26,78.8263756969931,1437.51,One year,Bank transfer,1
61,119.93534995658348,476.28,Month-to-month,Mailed check,1
2,75.58065814371795,791.55,Month-to-month,Mailed check,0
69,67.32101180813333,4514.63,Month-to-month,Bank transfer,0
71,51.285485650558755,733.66,Month-to-month,Bank transfer,0
26,32.052257878646444, ,One year,Electronic check,0
8,93.10236714582817,1619.24,Month-to-month,Bank transfer,1
61,39.259902778563045,3498.01,Month-to-month,Mailed check,0
36,31.528202124728438,2035.87,Month-to-month,Electronic check,0
50,62.17626597305125,4415.01,Month-to-month,Mailed check,0
43,99.53418379590974, ,One year,Electronic check,1
23,94.50645481202204,5097.12,Two year,Mailed check,0
58,25.488261464647493, ,One year,Bank transfer,0
31,65.5143685036156,1105.21,Month-to-month,Mailed check,0
51,72.2434576071169,6866.08,Month-to-month,Electronic check,0
61,84.45466506258222,3506.73,Month-to-month,Mailed check,1
57,85.01673504432281,2122.54,One year,Electronic check,0
51,56.46972494573058,147.24,Month-to-month,Mailed check,0
11,76.0677194003514, ,One year,Bank transfer,0
38,68.10618838440865,1583.41,Month-to-month,Bank transfer,0
1,108.4998356523281,1834.65,Two year,Mailed check,0
2,73.02651326349002, ,Month-to-month,Mailed check,0
55,64.10321617481617,1024.83,Month-to-month,Mailed check,0
58,60.448544968185075,3715.03,Two year,Electronic check,0
1,77.24277594334657,1829.32,Month-to-month,Mailed check,0
1,100.39769794008976,1124.35,Month-to-month,Mailed check,1
53,73.84014903807875,3784.83,One year,Electronic check,0
0,86.16551750805415,1001.4,One year,Bank transfer,0
18,93.7855766906525,524.65,One year,Mailed check,0
1,72.01681098787319,1176.51,Month-to-month,Mailed check,0
52,62.68170566548643,2294.93,Month-to-month,Bank transfer,0
43,107.66653778624494,6171.59,Month-to-month,Bank transfer,1
31,61.75060840278921,503.8,Month-to-month,Electronic check,0
69,66.19428505755876,2659.61,Two year,Mailed check,0
31,119.03413133417772,102.02,One year,Mailed check,0
67,20.023752357588457,3354.21,Month-to-month,Electronic check,0
54,38.547290957672246,4035.05,One year,Bank transfer,0
55,58.39638899197257,1108.7,Month-to-month,Electronic check,0
16,113.25899094252529,1054.98,Two year,Bank transfer,0
37,27.002970574747103,4857.79,Month-to-month,Electronic check,0
23,20.948543362849808,4384.16,Month-to-month,Bank transfer,1
68,25.26838359772286, ,One year,Electronic check,1
69,28.854341061361815,2218.79,One year,Bank transfer,0
10,23.759677320626086,3158.64,One year,Bank transfer,0
15,67.97813268565048,2277.5,Month-to-month,Bank transfer,1
58,78.07572072273277,1718.29,Month-to-month,Bank transfer,0
69,47.16869710690041,2758.95,Month-to-month,Bank transfer,0
2,59.828738397563555,3634.51,Month-to-month,Mailed check,1
19,29.169933511143014,2522.93,Two year,Bank transfer,1
58,53.63704638284221,2598.7,Month-to-month,Mailed check,0
35,72.2519191634523,4232.08,Month-to-month,Bank transfer,0
18,93.22718071846451,1468.33,One year,Mailed check,0
66,20.334636204297922, ,Month-to-month,Mailed check,0
18,66.73107665376526,2334.98,One year,Electronic check,0
19,49.70028764548822,4578.38,Two year,Bank transfer,0
70,105.28218216919014,353.07,Month-to-month,Electronic check,0
51,91.55533152342419,3236.24,nan,Electronic check,0
32,78.9108534470895,4951.41,One year,Bank transfer,0
39,47.72656456967736, ,Month-to-month,Electronic check,0
38,111.03391020575343,331.37,Month-to-month,Bank transfer,0
0,24.510067722032318,68.19,Month-to-month,Electronic check,0
10,30.946759867911517,1179.59,One year,Bank transfer,1
56,59.16301405403561,6435.57,One year,Bank transfer,0
49,32.443755729685634,5409.04,Two year,Bank transfer,1
22,115.6415697559425,494.91,nan,Mailed check,1
30,99.79893221433834,3800.46,One year,Electronic check,0
41,45.89826516018137, ,One year,Mailed check,0
6,78.85542289732453,3543.11,Month-to-month,Electronic check,1
15,118.23305150800816,1376.73,One year,Electronic check,0
59,108.4198978131503, ,Month-to-month,Electronic check,0
1,80.0798446442198,3763.12,One year,Mailed check,0
0,110.37239671752705,323.12,Month-to-month,Electronic check,0
47,118.91849098133589,2395.23,Month-to-month,Mailed check,1
11,94.33528228936241,1849.06,Month-to-month,Bank transfer,1
68,26.498640948289403,4816.89,Month-to-month,Electronic check,1
36,60.15802364254875,2028.79,One year,Electronic check,0
31,103.78257352832455,1007.89,Month-to-month,Bank transfer,0
8,43.0569195805019, ,One year,Bank transfer,0
18,103.06425177506246,1089.21,Month-to-month,Electronic check,0
47,32.033876203499595,438.63,One year,Bank transfer,0
2,24.694535714781303,629.74,Month-to-month,Mailed check,0
19,58.40906114912496, ,Month-to-month,Mailed check,0
23,23.67319374266136,578.75,One year,Electronic check,0
53,115.72702629833256,1124.69,Month-to-month,Mailed check,0
32,102.62056957939659,929.05,Month-to-month,Mailed check,0
23,100.07696871298751,1243.61,Month-to-month,Electronic check,0
71,82.97779229961532,5498.9,Month-to-month,Bank transfer,0
35,41.632402303655354,2351.85,One year,Electronic check,0
37,71.82603666763922,1588.31,Month-to-month,Mailed check,1
24,79.7274072430341,4645.72,One year,Electronic check,1
17,72.50315008602682,3327.9,Two year,Electronic check,1
65,46.02333679515273, ,Month-to-month,Mailed check,0
53,71.52479243147259, ,nan,Mailed check,0
34,69.11863408686266,4169.38,One year,Electronic check,0
60,119.63357758067242,4758.26,One year,Mailed check,0
40,109.74361480462039,885.85,One year,Mailed check,0
32,66.33807482156199, ,One year,Mailed check,1
67,82.29373829351186,1232.65,One year,Mailed check,0
32,94.78716040922285,5087.49,Month-to-month,Mailed check,1
13,23.486516023382492, ,Month-to-month,Mailed check,1
20,109.49214412278398,5112.06,Month-to-month,Bank transfer,0
47,106.01268164179238,1249.56,Month-to-month,Electronic check,0
19,65.74320977737074,1366.17,Month-to-month,Mailed check,0
7,59.11697660803798,4767.4,Month-to-month,Electronic check,0
6,47.2959374856315,4530.97,Month-to-month,Bank transfer,0
66,67.66768283303685, ,One year,Mailed check,0
16,24.437666353323678, ,Two year,Electronic check,0
32,105.21935333470077,440.72,nan,Mailed check,0
47,23.542236841854507, ,Month-to-month,Mailed check,0
58,52.9051365369871,2729.06,One year,Mailed check,0
21,113.158948831899,1114.72,Two year,Mailed check,0
29,93.52126545234528,8246.74,Month-to-month,Mailed check,0
37,48.13909605775268,4937.82,Month-to-month,Mailed check,0
50,45.26490939608851,921.97,nan,Mailed check,0
53,20.508213981802598,1962.95,One year,Bank transfer,1
7,89.57142928497501,1511.08,Month-to-month,Bank transfer,0
26,24.87835816731731,4741.31,Month-to-month,Mailed check,0
26,73.26025194007622,3596.32,Month-to-month,Mailed check,0
20,116.21219725920498,4867.67,Two year,Bank transfer,0
29,30.94688600544539,3564.19,One year,Bank transfer,0
27,109.44799309680674,1118.05,Month-to-month,Bank transfer,0
63,119.14753351450481,70.15,Month-to-month,Mailed check,0
68,26.151702623923505,162.53,One year,Electronic check,0
60,108.29062691374612,102.57,One year,Electronic check,0
47,71.60790204436167,227.06,Month-to-month,Electronic check,0
18,110.651371944458,2731.77,Two year,Electronic check,0
3,77.13189419195741,4609.43,Month-to-month,Mailed check,0
34,86.21120101065647,2649.58,Month-to-month,Electronic check,1
63,74.37789079973993, ,One year,Bank transfer,0
48,106.44928803073485,253.97,Month-to-month,Bank transfer,1
16,93.39099189537018,1199.43,Two year,Electronic check,0
43,72.12603121804149,1033.04,One year,Bank transfer,0
29,106.8160804051547,177.2,One year,Mailed check,1
45,44.52855322553346,2700.85,Month-to-month,Electronic check,0
5,35.7340659702526,1100.98,Month-to-month,Electronic check,1
36,36.040010533007205,3518.48,Month-to-month,Mailed check,0
23,53.40088787452379,504.43,One year,Bank transfer,0
45,43.86900313010175,1185.78,One year,Mailed check,1
52,113.00903505097386,805.5,Two year,Mailed check,0
59,30.5834093828584, ,One year,Bank transfer,1
62,89.89907380395877, ,nan,Mailed check,0
31,38.92215397850059,0.0,One year,Bank transfer,0
32,108.16371327703501,3307.47,Month-to-month,Bank transfer,0
66,116.13152881849074,1755.08,Month-to-month,Mailed check,1
17,66.54700087699835, ,One year,Bank transfer,0
24,107.90714802281316,486.48,Month-to-month,Mailed check,0
53,20.514517075471478, ,Month-to-month,Bank transfer,1
57,101.99469174081001, ,One year,Electronic check,1
66,42.86251615249235,2659.13,Two year,Bank transfer,0
45,110.87013092693678,5414.22,Month-to-month,Bank transfer,0
23,20.11201114801095, ,One year,Mailed check,0
31,75.6181735039757, ,Two year,Bank transfer,0
46,95.66358037849346,2364.65,Month-to-month,Electronic check,0
22,45.868833069790796, ,Month-to-month,Electronic check,0
65,39.31328645872931,7975.42,Month-to-month,Bank transfer,0
26,28.409822446798465,1260.61,One year,Bank transfer,1
1,52.6433576503293, ,One year,Electronic check,1
16,75.98443123088295,3678.61,Two year,Mailed check,0
32,31.584385678025768,528.7,One year,Electronic check,0
8,57.66953619867988,260.05,Month-to-month,Electronic check,0
42,20.907240465272498,7062.63,Month-to-month,Bank transfer,0
47,101.86794204998418,242.5,One year,Bank transfer,0
38,32.84487180931914,3664.15,Month-to-month,Electronic check,0
41,48.334294826558164,589.48,Month-to-month,Mailed check,0
25,21.842771873821746,4457.42,Month-to-month,Electronic check,0
49,63.22407838925123,1676.21,Month-to-month,Electronic check,0
24,104.01215027412188,782.18,Month-to-month,Mailed check,0
23,59.21512114451966,2628.86,Month-to-month,Electronic check,0
12,37.94973234238334,3310.64,Month-to-month,Electronic check,0
59,95.36988340505192,54.81,Month-to-month,Bank transfer,0
6,98.88069818707443, ,One year,Mailed check,1
56,37.375347530756684,1433.58,Two year,Bank transfer,1
35,97.08541085409898,2538.44,Month-to-month,Bank transfer,0
44,114.7297888256338, ,One year,Mailed check,0
19,36.637758693227234, ,Month-to-month,Mailed check,0
64,97.09842925321355,3025.25,One year,Electronic check,0
7,90.85720046026293,1754.1,Two year,Bank transfer,0
15,67.35738884350886,2624.69,One year,Mailed check,0
13,25.79204605587983,1488.44,Two year,Bank transfer,0
14,27.469441775785402,5627.61,Month-to-month,Bank transfer,0
65,105.24146591986477,1234.34,Month-to-month,Mailed check,0
31,119.0148372750647,3593.14,Two year,Electronic check,0
62,87.60522571867544,5016.47,Month-to-month,Bank transfer,0
50,64.59583070103216,1447.65,Month-to-month,Mailed check,0
24,84.75736434019076,1372.85,One year,Electronic check,0
57,79.43958592285453,1582.1,Two year,Bank transfer,0
62,58.36122604056218, ,Two year,Mailed check,1
61,26.562614457401295,6145.79,Month-to-month,Bank transfer,1
21,102.15129474074409, ,Two year,Mailed check,0
57,57.18335292387246,1069.12,Month-to-month,Mailed check,0
57,101.87856433570937, ,Month-to-month,Bank transfer,0
48,45.25087496883822,2790.58,One year,Bank transfer,1
51,20.10294798456334,1175.34,Month-to-month,Mailed check,0
41,35.89382832767565,2395.0,Month-to-month,Electronic check,0
69,66.85394167685843,2921.91,One year,Bank transfer,1
14,114.43036349578298, ,Month-to-month,Mailed check,0
53,30.2193619693719, ,Month-to-month,Mailed check,0
59,105.4209774461566,1458.5,Month-to-month,Electronic check,0
7,72.7024096211862, ,Month-to-month,Electronic check,0
52,102.59207657998967, ,Month-to-month,Electronic check,0
59,49.83744309899926,784.86,One year,Bank transfer,0
4,103.99471646724719,0.0,One year,Mailed check,0
67,97.28227800168045,1467.44,Month-to-month,Mailed check,0
5,43.00536830314339,6028.27,Two year,Mailed check,1
46,33.13351264093781,5446.35,Month-to-month,Electronic check,0
54,106.80543225322928,172.07,Month-to-month,Mailed check,0
39,116.3236653440132,1427.79,Two year,Bank transfer,1
51,23.130231374751624,1985.97,Month-to-month,Electronic check,1
15,93.12700669736856, ,nan,Electronic check,0
12,110.95245109478184,4204.19,Month-to-month,Electronic check,1
29,105.73600920924986, ,One year,Electronic check,0
18,116.45204722702086,7065.84,Month-to-month,Bank transfer,1
16,96.00940784380971,840.97,Month-to-month,Mailed check,0
62,64.22987623809102,5184.07,Month-to-month,Bank transfer,0
18,51.19519904951304,4249.69,One year,Mailed check,1
57,52.07427404381274, ,One year,Bank transfer,0
54,92.4422672614117, ,nan,Electronic check,0
61,94.58370120309642,1383.99,Month-to-month,Electronic check,0
22,40.03591435487127,2652.55,Month-to-month,Bank transfer,0
8,106.8122813490531,754.26,Month-to-month,Bank transfer,0
11,91.49240402022477,263.52,One year,Mailed check,1
0,76.27502863433827,2398.13,Two year,Bank transfer,0
57,67.15324601025128,1648.95,Month-to-month,Bank transfer,0
0,74.32328057899582,4532.35,One year,Mailed check,1
33,35.92457382792645,3926.88,Month-to-month,Mailed check,0
47,40.370124927627415,1322.43,One year,Mailed check,0
0,29.116449040619166,5060.36,Two year,Bank transfer,0
15,35.36580381611127,3894.15,Month-to-month,Mailed check,0
60,65.36936346052826,4067.29,Month-to-month,Electronic check,0
63,73.0354393728256,772.51,nan,Electronic check,1
62,21.78618924783194,2165.94,Two year,Electronic check,0
68,99.67978278640275, ,One year,Bank transfer,0
21,49.41679733434779,3513.38,One year,Electronic check,0
66,111.18360349599111,525.23,Month-to-month,Bank transfer,0
25,116.75112636137777,2134.99,One year,Bank transfer,0
15,38.54588746766544, ,Two year,Electronic check,0
50,66.20972907656606,1175.09,One year,Mailed check,0
56,20.123183516642587,5557.61,Month-to-month,Bank transfer,1
28,79.83272651224269,45.9,Month-to-month,Electronic check,0
68,80.73064482626712,2279.48,Month-to-month,Bank transfer,0
46,44.753995560337515,388.46,Month-to-month,Mailed check,1
61,75.84126725831979,748.29,Month-to-month,Mailed check,0
68,42.55401424437355,4889.14,Month-to-month,Electronic check,0
15,36.08254690781901,3884.03,Month-to-month,Bank transfer,0
47,85.15194668022647,3873.58,Month-to-month,Bank transfer,0
38,52.59254639520749,747.62,One year,Bank transfer,0
32,79.02639388856224,3666.64,Month-to-month,Bank transfer,0
22,63.32467489716556,1033.24,Month-to-month,Electronic check,0
9,118.4351407402904,2117.14,Month-to-month,Mailed check,0
68,34.95806426675658,2771.78,Month-to-month,Electronic check,0
33,66.45985966358101,6509.79,One year,Bank transfer,0
51,88.04566263593253, ,Month-to-month,Bank transfer,1
9,59.55450838799687,2704.65,One year,Mailed check,1
18,117.46998518706899,1401.58,nan,Bank transfer,1
57,92.18876279269351, ,One year,Electronic check,0
0,85.69838575644931,3763.92,One year,Electronic check,0
68,95.70592676112233, ,Two year,Mailed check,0
3,115.2648638038717,2312.12,One year,Electronic check,0
15,110.78186529846401,1543.96,Month-to-month,Electronic check,0
23,92.42853081264118,2555.78,Month-to-month,Electronic check,0
1,94.9161639101283, ,Two year,Electronic check,0
31,34.59220740351455, ,Month-to-month,Bank transfer,0
23,30.279240449266567,2721.66,Month-to-month,Electronic check,1
11,77.09045018441643,6698.12,One year,Mailed check,0
49,21.836763694054,373.52,Two year,Mailed check,0
34,68.23563815515917,106.52,Month-to-month,Electronic check,0
32,41.034957991886856,4461.03,One year,Mailed check,0
32,54.601656764483955,5723.05,Month-to-month,Electronic check,0
60,97.5804735792956,352.51,One year,Mailed check,0
50,114.12375042323865,6022.98,Month-to-month,Mailed check,0
42,27.24162721463415,2873.3,Month-to-month,Electronic check,1
11,73.4242205976445,3113.8,Two year,Electronic check,1
66,108.25334858196, ,Month-to-month,Bank transfer,1
64,28.25085344404213,3514.39,One year,Electronic check,1
32,102.45140468968339,699.43,Month-to-month,Electronic check,0
39,55.78013509282714, ,Month-to-month,Bank transfer,0
42,52.209470221933536, ,One year,Electronic check,0
43,117.74663863147858,1967.97,Month-to-month,Electronic check,0
28,40.08590898622941,4211.85,Month-to-month,Bank transfer,0
12,89.31939408226809,3290.38,Month-to-month,Electronic check,1
11,102.14407280098665,1871.69,One year,Electronic check,0
45,24.118349527927165,5272.38,nan,Bank transfer,0
1,87.03854583544123,1724.72,nan,Bank transfer,0
34,115.15499743553269,2528.74,Month-to-month,Mailed check,1
7,32.42199667280593,3645.8,Month-to-month,Electronic check,0
25,109.62213026850382,535.62,Month-to-month,Mailed check,1
33,79.4776637376936,1529.69,Two year,Mailed check,1
6,81.66045818624741,1394.1,Month-to-month,Bank transfer,1
67,81.29441748656059,3078.64,nan,Electronic check,1
57,49.883588633731385, ,Month-to-month,Electronic check,0
28,113.52018152994597, ,nan,Bank transfer,0
35,114.73504626310387,2800.38,Two year,Mailed check,0
20,82.53046602139477,4383.7,Two year,Bank transfer,0
35,98.34227259416147,1652.97,Month-to-month,Electronic check,0
9,81.2257985881158, ,Month-to-month,Bank transfer,1
23,68.43984475740406, ,Month-to-month,Electronic check,0
63,86.08201182992507,1599.54,Month-to-month,Mailed check,1
48,75.30014525919584,1704.2,Month-to-month,Electronic check,0
35,79.747586263193,2301.41,One year,Mailed check,0
23,98.3832553418862,5235.09,Month-to-month,Mailed check,1
22,68.09038314489848,1357.02,One year,Electronic check,0
61,24.075410609247278,2011.69,One year,Electronic check,0
36,36.39994809894972,1039.82,Month-to-month,Mailed check,0
11,63.860721648953835,4160.88,nan,Bank transfer,0
54,92.48265598740583,1222.28,Month-to-month,Electronic check,0
12,79.32786483101788,2109.46,Month-to-month,Mailed check,0
22,85.02941858734539,2274.41,Month-to-month,Mailed check,0
29,67.92789285762873,282.76,Two year,Bank transfer,0
16,81.57420219422428, ,Month-to-month,Electronic check,0
61,52.90174378146622,7508.45,Month-to-month,Mailed check,0
12,67.01825926966652,2775.92,One year,Bank transfer,0
58,94.42790655949555,124.82,Month-to-month,Mailed check,1
18,107.18327789731212,2119.58,One year,Electronic check,0
48,63.36553339563889,4339.97,nan,Bank transfer,0
11,24.366165770736117, ,nan,Mailed check,0
60,36.167254414680265,3727.88,Month-to-month,Bank transfer,1
18,22.08611392915381,1555.95,Month-to-month,Electronic check,0
8,85.32630192373301,2331.63,Month-to-month,Bank transfer,0
70,53.23146253551089,0.0,Month-to-month,Electronic check,0
27,74.24786357193675,7835.26,Month-to-month,Mailed check,0
51,69.32768467837997,1027.27,Month-to-month,Electronic check,0
15,28.152648955242668,514.44,nan,Mailed check,0
68,60.32613611238318,1317.34,nan,Mailed check,0
11,42.05611249223233,1154.56,Month-to-month,Electronic check,1
24,61.83997886676527,5966.91,Month-to-month,Mailed check,0
51,40.35782803422427,1192.81,Month-to-month,Bank transfer,0
52,104.04524062769335,272.39,Month-to-month,Mailed check,0
22,37.41933365782536,1720.79,One year,Electronic check,1
15,116.0780551486977,430.16,One year,Bank transfer,1
56,61.59073661469408,1364.81,Two year,Bank transfer,0
38,104.62452920190493,2777.28,One year,Mailed check,0
52,82.8764818205945,2570.84,One year,Mailed check,0
41,93.53502986657526,794.42,One year,Electronic check,0
57,96.77238880667802, ,Month-to-month,Bank transfer,0
38,70.48448818930177, ,One year,Electronic check,0
13,74.33005233632883,3791.57,Month-to-month,Mailed check,0
4,71.3995867808725,3022.12,Month-to-month,Bank transfer,0
34,78.80583780900793,1128.75,Month-to-month,Electronic check,0
17,22.93944457565073,6377.83,Month-to-month,Electronic check,0
8,59.551516984901525,3513.07,nan,Electronic check,0
57,80.61887135611715,4452.44,Month-to-month,Electronic check,0
16,79.77235652558643,3030.4,Month-to-month,Electronic check,0
6,99.29560946056316,518.96,Month-to-month,Bank transfer,0
45,85.50093388321085,2289.97,One year,Electronic check,0
12,119.21333163406723,1166.98,Month-to-month,Bank transfer,0
39,48.385452860864504, ,nan,Electronic check,0
41,55.915102966623145,5191.98,Two year,Mailed check,0
8,58.38471518677963, ,One year,Mailed check,0
49,66.58128070202486,5091.3,One year,Electronic check,0
26,103.59980637812095,4145.36,Month-to-month,Mailed check,1
65,43.579209395920984,254.73,Month-to-month,Bank transfer,0
4,97.60002070354295,1482.82,One year,Electronic check,1
28,60.53101830857434,2452.81,Month-to-month,Bank transfer,0
36,80.18553836620086,1467.72,Month-to-month,Electronic check,1
37,83.25405332263061,709.97,One year,Mailed check,0
7,57.28486371889345,935.2,Month-to-month,Bank transfer,0
64,71.26152052058052,2678.37,nan,Mailed check,0
16,61.3031174647697,5506.46,Month-to-month,Mailed check,0
70,26.913278618661945,2933.27,One year,Electronic check,1
44,63.71653888168265,6405.73,One year,Bank transfer,1
3,29.73933925535522,2458.94,One year,Mailed check,0
35,60.50207990803215,3624.69,Month-to-month,Electronic check,0
69,79.29183998317819,1285.76,One year,Electronic check,0
30,77.94148993435007,5537.56,Two year,Electronic check,1
18,86.26212790083204,611.86,Month-to-month,Mailed check,0
