tenure,monthly_charges,total_charges,contract_type,payment_method,random_noise_1,random_noise_2,churn
63,82.47612710432512, ,nan,Electronic check,-1.3394831553106699,17.24463889738591,1
2,53.58658571498351,1249.11,Month-to-month,Mailed check,-0.029816816668827722,57.96324582018182,1
50,102.51073314226598, ,Month-to-month,Mailed check,-0.8969723040991179,55.552506806271964,1
6,56.30592121950905,1977.6,nan,Mailed check,0.8495852645378883,73.9621684652995,0
20,23.422811082052913, ,Month-to-month,Bank transfer,-0.8086124988817873,49.924290752477475,0
38,103.06545065652497,1141.31,nan,Electronic check,-0.017506449188277106,27.22856607081342,0
17,54.51921448812756,7341.33,nan,Electronic check,1.5458104271641642,16.939649963157855,0
3,97.38345232013403,3747.33,Month-to-month,Electronic check,1.0985286222141364,62.08188035058918,0
59,56.275789466594546,6256.75,One year,Mailed check,0.4778392032889491,71.89907568532331,0
13,106.10680199747216,262.3,Month-to-month,Electronic check,-0.12757771255227468,56.95212786820326,0
8,41.95105250809587,101.1,Month-to-month,Electronic check,0.38289645621108837,73.83512771211947,0
52,117.45472651988699, ,Month-to-month,Electronic check,0.688983952725054,14.152120244996013,1
1,97.97587747880308,654.51,Month-to-month,Mailed check,-0.9866023632154887,88.24701949431355,0
59,31.423792592039682,1361.27,Month-to-month,Electronic check,0.8513372439238396,58.239550840850306,0
70,76.57766199665605, ,Month-to-month,Mailed check,-1.1016940525570809,12.684392689259717,0
43,118.53673122417347, ,nan,Electronic check,0.5724519350122764,46.1925204205735,0
7,67.10654526938144,4433.65,Two year,Electronic check,-1.106890404549641,84.47917378659115,0
46,38.21071388215832, ,One year,Electronic check,1.962796243370614,89.75621934531601,1
34,68.47783671503461,2244.69,One year,Mailed check,0.7633416249370387,26.46495049987615,0
35,71.24576558819216,5188.59,Two year,Mailed check,-1.5560252787859543,71.12658247104531,0
49,94.16869442286655,216.76,Month-to-month,Electronic check,-0.0009266262301528976,9.998524748377669,0
3,89.88458531609044,2472.79,One year,Bank transfer,-0.5214220440846358,3.3545871412157813,0
1,60.255004359698056,3690.2,nan,Mailed check,-0.6397269297813641,56.03989538199428,1
5,41.80231074940865,4925.3,Month-to-month,Mailed check,0.14710352646841823,69.48275793281259,0
53,84.50541677693295,714.58,One year,Electronic check,-0.9279937496684983,79.5786731176502,0
3,62.17039345532818,662.33,Two year,Bank transfer,0.7614657649844361,34.02162384553347,1
53,33.22762111253304,1491.21,nan,Electronic check,0.7046540869993421,0.6525410428886991,1
62,110.05723012363856,64.26,One year,Mailed check,0.3514247749419854,47.95192371113538,0
17,89.12218576096544,1338.21,Month-to-month,Mailed check,-0.019504528540864735,1.585354537356698,0
43,88.31838564454814,186.42,Month-to-month,Electronic check,0.6598182859449822,9.198451067079993,0
33,102.25838759116739,3163.73,Month-to-month,Electronic check,0.7913855060779842,32.668902253174835,0
61,72.96616786550811,4850.88,One year,Bank transfer,0.4549177367416812,43.71720495601772,0
13,101.5054428402457,178.56,Month-to-month,Bank transfer,-1.3118740231802377,27.946944122964858,1
47,69.80907535110057, ,Two year,Mailed check,-0.7883861138690067,58.18652665047078,0
14,26.71753999157101,3851.27,Month-to-month,Bank transfer,-0.2680609214921124,5.534978921809519,1
71,60.524808802768874,1719.1,Month-to-month,Bank transfer,-1.4757908978496974,14.457971023958471,0
61,69.74648939798905, ,Month-to-month,Mailed check,0.22400313333153002,69.52584007554336,0
39,92.02025816322958, ,One year,Mailed check,1.4110052073236168,14.214085359791772,0
52,30.657873012867434, ,Month-to-month,Mailed check,1.2516903667595924,63.97752015704224,1
23,34.0018538660449,2549.03,Month-to-month,Mailed check,0.7396261440048749,5.468462075336555,1
25,46.368380263461646,1184.82,Month-to-month,Electronic check,0.7277119338715549,40.73822791191404,0
59,46.649839337088224,4710.47,Month-to-month,Mailed check,2.215295530963381,17.740947012118234,0
40,93.21845784590624,7193.04,Month-to-month,Mailed check,0.8438638321783621,10.963628253518642,0
28,45.073066056159774, ,Two year,Mailed check,0.9256356867883468,56.70327835012275,1
14,83.30980633574475,2426.98,One year,Bank transfer,-1.4389146943361546,92.83357720056217,1
44,69.42738501382715,2328.89,Month-to-month,Mailed check,1.332818794356268,5.478704792354883,0
64,77.32943781794006,5901.82,Two year,Electronic check,0.3984973503055624,42.15542482180342,0
70,103.81069631782958, ,nan,Electronic check,-0.07978434543267753,70.75354377454437,0
8,60.43815015490243,3635.01,One year,Mailed check,-0.32763812406823883,46.268783168782704,0
0,97.09113770642705,1353.58,One year,Electronic check,-0.5485954366692449,80.64959461052452,0
7,62.20360595506874,4722.34,Two year,Bank transfer,1.2567768783608957,17.96453158641317,0
62,55.38713765612494, ,nan,Mailed check,-0.028358929257374006,95.95942050277405,1
10,115.86271773132205,5443.63,One year,Electronic check,-0.5116785588702479,38.51626277725405,0
7,38.43709206789632,2040.6,Month-to-month,Electronic check,-0.7715468047301147,34.15696329442751,1
34,29.033696057760785,1214.96,One year,Mailed check,0.1705987944628568,87.46057945031659,0
34,97.09859255354785,6251.31,One year,Electronic check,-0.3596097042177829,56.38670318917666,0
32,26.824970535409157,2087.58,Month-to-month,Mailed check,-0.5877555524996549,51.644434190282155,0
4,103.70789907030294,2496.52,Month-to-month,Electronic check,-1.3821559692754701,72.69779195284309,0
40,63.71933963572435,2652.16,Two year,Bank transfer,0.9593573595044974,57.98342382810904,0
27,111.5513677291914, ,One year,Electronic check,-0.13802327544976625,16.251564475711533,0
6,92.15328611219056,320.71,Month-to-month,Electronic check,-1.0852386570240204,67.41976228649297,0
71,81.04046670079576,7599.54,One year,Mailed check,-0.2712361413328833,13.346887928212848,0
11,114.93067970577657,106.14,Month-to-month,Electronic check,0.5491320559656173,80.5857705334062,0
33,59.66493730520543,2261.16,Month-to-month,Mailed check,0.028840871603311835,98.97365977122709,0
32,115.40869365396331,5312.3,One year,Bank transfer,0.19099374777060965,37.73876249747763,0
47,33.500127742120696, ,Month-to-month,Mailed check,0.0425482579903094,44.47558982020126,0
22,68.37549419324128,4917.77,Month-to-month,Mailed check,-1.276855776441081,4.643365548281231,1
61,46.99112223921949, ,nan,Electronic check,0.9485085432635307,1.3733188082578285,0
36,73.98427789081934,668.35,Month-to-month,Bank transfer,-1.7082461603819326,92.14193348763277,1
43,36.20138778915846,436.08,Month-to-month,Mailed check,0.46153657461144215,12.862406043919206,0
34,104.15296603100434,1581.8,nan,Electronic check,0.6155709214954449,44.577874755947036,0
64,104.64078493145573,1546.22,One year,Electronic check,-0.21984370377918255,81.53546238555614,0
46,115.5236312723479,579.93,One year,Mailed check,0.3534225238055569,88.93187599283195,1
2,35.46721408832362,2330.18,Two year,Electronic check,-0.2771354692402207,51.93976852834676,1
0,82.33325509049908,164.41,Month-to-month,Mailed check,0.36549520309111483,56.50325249759498,0
4,67.42373087003696,8227.85,One year,Mailed check,0.9929225435189046,66.96839724632724,0
13,54.43837320442332,2931.62,One year,Mailed check,-0.7921264263853364,96.13824701437153,0
26,55.15401611342188,1392.91,Two year,Bank transfer,0.673964858952303,60.26699609445051,0
8,61.27935506067523,2523.98,One year,Mailed check,1.6923980023881113,55.947525945634624,0
14,90.4925549688953,3560.72,One year,Electronic check,0.2645652625343606,1.4534135265990678,0
41,79.82860582681546,4960.06,Month-to-month,Bank transfer,-0.5031042244214121,8.094970202235608,0
50,65.9681512761131,2693.39,Month-to-month,Electronic check,2.2632328390855356,57.71716266239962,1
62,27.593341036962208, ,One year,Bank transfer,0.08870623904475734,93.62403878072033,0
51,27.77653440789571,1433.37,One year,Bank transfer,0.2315299038028774,86.6691348399395,0
3,20.233939062577825,3743.34,One year,Bank transfer,0.2523742095336067,98.25789229922046,0
22,116.76993882070865,4568.51,Month-to-month,Bank transfer,0.44786332759928094,52.7834037561274,0
14,20.525381855838493,857.39,One year,Electronic check,-0.33887494544898544,78.79309384377669,0
42,30.309374601374486,7284.82,One year,Mailed check,0.18999086070417107,84.04003314893404,0
28,51.45965568094109, ,Two year,Electronic check,0.9521837434367699,64.80316573308617,0
35,100.74302518167612,6068.89,One year,Mailed check,-0.3734010212347558,33.874990421450725,1
12,116.20987857641177,127.47,nan,Electronic check,-0.41999397712669556,46.99784346577944,1
31,99.00135587918561,2399.25,Two year,Bank transfer,-0.2920844754686517,85.79170722435677,0
70,89.05602324456406,3125.14,One year,Bank transfer,-1.0977728179841826,29.854792598216395,0
58,72.13006674135694,0.0,One year,Mailed check,-0.6828394618515679,92.37431312666486,0
27,28.67052118621836,1443.25,nan,Mailed check,-0.7235799236400955,22.98063414226651,0
65,115.81707930039303,2947.5,One year,Electronic check,-0.0005225236680281123,74.95164151567806,0
41,95.83924139456815,7173.65,Two year,Mailed check,0.8361456557057673,63.055923434573835,0
44,83.89493853342618,1375.26,One year,Electronic check,1.453714096879472,74.95994411207623,0
61,95.90358455388498,3339.55,One year,Mailed check,0.05718861719186463,43.73475724325948,1
56,92.41033292731386,4966.91,Month-to-month,Mailed check,0.4564697514287078,93.26410625539846,0
5,83.72315797894868,6170.51,Month-to-month,Mailed check,0.24339380590769533,63.24722024114774,1
27,118.05768001799882, ,nan,Bank transfer,-2.0934389552066586,28.829580455425628,0
27,110.33638126360249,5393.41,One year,Bank transfer,-1.147890911860274,63.84550706521437,0
43,84.66649191171634,3069.48,One year,Electronic check,0.7612642911647396,28.681574720703118,0
29,89.31752114569247,2504.44,nan,Mailed check,0.8584851719195792,29.36323917598742,0
61,25.159580665870998,2605.77,One year,Electronic check,0.8356080251199703,39.95985116208679,0
61,86.99174645500392,1172.94,One year,Mailed check,-0.17781198446338883,85.2430417569119,0
0,24.41654377101002, ,One year,Bank transfer,-1.9948344606009747,50.0297874393992,0
26,78.8263756969931,1437.51,One year,Bank transfer,-1.0285249856791723,67.89008422302074,0
61,119.93534995658348,476.28,Month-to-month,Mailed check,-0.8755078456471619,39.1967740274463,0
2,75.58065814371795,791.55,Month-to-month,Mailed check,0.6287685790907118,26.360543980688146,1
69,67.32101180813333,4514.63,Month-to-month,Bank transfer,-0.3573710964165959,95.46401607162313,0
71,51.285485650558755,733.66,Month-to-month,Bank transfer,1.690400508130418,60.358124712306264,0
26,32.052257878646444, ,One year,Electronic check,1.4676383378607578,93.39513385827183,0
8,93.10236714582817,1619.24,Month-to-month,Bank transfer,1.673698446220863,20.341300219831503,0
61,39.259902778563045,3498.01,Month-to-month,Mailed check,-0.9165129936432219,14.689416391293275,0
36,31.528202124728438,2035.87,Month-to-month,Electronic check,0.4908912121415714,85.58229071239036,0
50,62.17626597305125,4415.01,Month-to-month,Mailed check,-0.47752408893786963,68.09172126172514,0
43,99.53418379590974, ,One year,Electronic check,0.3278718182332904,18.657849925364133,0
23,94.50645481202204,5097.12,Two year,Mailed check,-0.80561374274396,26.935970066353775,1
58,25.488261464647493, ,One year,Bank transfer,1.2261563675514555,80.06639415253112,0
31,65.5143685036156,1105.21,Month-to-month,Mailed check,-0.7869315502038857,45.386861999593606,0
51,72.2434576071169,6866.08,Month-to-month,Electronic check,-1.9472390246710976,67.05405065060908,0
61,84.45466506258222,3506.73,Month-to-month,Mailed check,2.0337808157431616,31.83520221360109,0
57,85.01673504432281,2122.54,One year,Electronic check,0.4424966795679303,38.12299527748767,1
51,56.46972494573058,147.24,Month-to-month,Mailed check,-1.069126764418128,99.07125586231051,0
11,76.0677194003514, ,One year,Bank transfer,-0.16227111506913702,24.761708717471855,0
38,68.10618838440865,1583.41,Month-to-month,Bank transfer,-0.5768570947168843,50.6456377036514,0
1,108.4998356523281,1834.65,Two year,Mailed check,0.005741446804439764,84.44023431905322,0
2,73.02651326349002, ,Month-to-month,Mailed check,0.8027808359148207,23.9223213665858,0
55,64.10321617481617,1024.83,Month-to-month,Mailed check,0.6457790929036307,41.521375668433066,0
58,60.448544968185075,3715.03,Two year,Electronic check,0.2537290205085139,61.50912873699883,0
1,77.24277594334657,1829.32,Month-to-month,Mailed check,0.005253113309508843,48.118815147510254,0
1,100.39769794008976,1124.35,Month-to-month,Mailed check,1.0786707575280106,45.95022665703175,0
53,73.84014903807875,3784.83,One year,Electronic check,-1.9254582183368936,36.25097313221236,0
0,86.16551750805415,1001.4,One year,Bank transfer,-0.748932693260438,58.66463277749251,0
18,93.7855766906525,524.65,One year,Mailed check,-0.9786628332561677,62.43726979236103,1
1,72.01681098787319,1176.51,Month-to-month,Mailed check,1.0062577730028914,65.32895409013626,0
52,62.68170566548643,2294.93,Month-to-month,Bank transfer,-0.7390926156784712,7.036810790602932,0
43,107.66653778624494,6171.59,Month-to-month,Bank transfer,-1.2859553922904483,63.103417571204886,0
31,61.75060840278921,503.8,Month-to-month,Electronic check,0.5493275461169328,95.32371787812328,0
69,66.19428505755876,2659.61,Two year,Mailed check,-0.9087475809097253,54.09862355280837,0
31,119.03413133417772,102.02,One year,Mailed check,-0.3507264825083576,71.52670825092443,1
67,20.023752357588457,3354.21,Month-to-month,Electronic check,2.381143900881698,55.67323077592178,0
54,38.547290957672246,4035.05,One year,Bank transfer,0.7871385540034733,85.47406185919787,0
55,58.39638899197257,1108.7,Month-to-month,Electronic check,-0.21104060741467465,92.95830945975689,0
16,113.25899094252529,1054.98,Two year,Bank transfer,-0.12112812594418335,18.421989929635927,0
37,27.002970574747103,4857.79,Month-to-month,Electronic check,0.9074875862214719,43.68600365571266,0
23,20.948543362849808,4384.16,Month-to-month,Bank transfer,0.6628704301046306,39.23821009327213,1
68,25.26838359772286, ,One year,Electronic check,0.07559948945093709,40.521512329927866,0
69,28.854341061361815,2218.79,One year,Bank transfer,0.10355994223942439,12.55241812278759,0
10,23.759677320626086,3158.64,One year,Bank transfer,-1.479848480437972,81.36157259807193,0
15,67.97813268565048,2277.5,Month-to-month,Bank transfer,-1.6900105500689366,3.576624301493525,0
58,78.07572072273277,1718.29,Month-to-month,Bank transfer,-0.1768222757735045,52.82266077271569,1
69,47.16869710690041,2758.95,Month-to-month,Bank transfer,-0.6332851853461444,66.18783880446912,0
2,59.828738397563555,3634.51,Month-to-month,Mailed check,0.5860790343403636,20.746943805887717,0
19,29.169933511143014,2522.93,Two year,Bank transfer,0.19717974380562603,90.58501920987956,0
58,53.63704638284221,2598.7,Month-to-month,Mailed check,-0.7727743934943797,83.8549207024793,1
35,72.2519191634523,4232.08,Month-to-month,Bank transfer,0.16319845949635756,47.10837294839253,1
18,93.22718071846451,1468.33,One year,Mailed check,-0.41823278555492294,41.11489323401387,0
66,20.334636204297922, ,Month-to-month,Mailed check,2.0666013780140293,23.656792521110003,0
18,66.73107665376526,2334.98,One year,Electronic check,0.3862422989629572,72.99932246449636,0
19,49.70028764548822,4578.38,Two year,Bank transfer,-1.5606069870329287,13.174379963196415,0
70,105.28218216919014,353.07,Month-to-month,Electronic check,1.8205151002195816,68.02377538437831,0
51,91.55533152342419,3236.24,nan,Electronic check,-0.6331490039572499,84.24569861184136,0
32,78.9108534470895,4951.41,One year,Bank transfer,-0.9747369907801692,22.84715759170237,0
39,47.72656456967736, ,Month-to-month,Electronic check,2.1436866525435208,86.64274028987562,0
38,111.03391020575343,331.37,Month-to-month,Bank transfer,0.34583665779556366,3.3323199439508455,1
0,24.510067722032318,68.19,Month-to-month,Electronic check,0.7007660072054852,91.27873853865253,0
10,30.946759867911517,1179.59,One year,Bank transfer,0.7330601158721506,11.836222785129802,0
56,59.16301405403561,6435.57,One year,Bank transfer,-0.20598971623780354,64.57591779380326,0
49,32.443755729685634,5409.04,Two year,Bank transfer,-0.5724052701863203,25.00824689139418,0
22,115.6415697559425,494.91,nan,Mailed check,-0.4092574549377402,83.65523911696138,0
30,99.79893221433834,3800.46,One year,Electronic check,1.6088662792440336,51.23003609154665,1
41,45.89826516018137, ,One year,Mailed check,0.20378755320680852,13.524119124650136,0
6,78.85542289732453,3543.11,Month-to-month,Electronic check,1.3129150397161364,57.099157132597846,1
15,118.23305150800816,1376.73,One year,Electronic check,-0.07644512722849837,40.78826101969831,0
59,108.4198978131503, ,Month-to-month,Electronic check,-0.7553835773437445,66.14478166131012,0
1,80.0798446442198,3763.12,One year,Mailed check,-1.4422164738680543,88.19032847634595,0
0,110.37239671752705,323.12,Month-to-month,Electronic check,0.6480031851540399,40.938913118341844,0
47,118.91849098133589,2395.23,Month-to-month,Mailed check,1.6940980784119737,28.988067953385965,0
11,94.33528228936241,1849.06,Month-to-month,Bank transfer,-0.8859730082465007,1.4515094527608796,1
68,26.498640948289403,4816.89,Month-to-month,Electronic check,0.5133725686380203,57.483903785987486,1
36,60.15802364254875,2028.79,One year,Electronic check,-1.3756157156807507,40.227476743143356,1
31,103.78257352832455,1007.89,Month-to-month,Bank transfer,-0.5556966770618912,37.464921901482874,0
8,43.0569195805019, ,One year,Bank transfer,0.26793678537454735,18.29353212842125,1
18,103.06425177506246,1089.21,Month-to-month,Electronic check,-1.728294085670402,43.00553451912743,0
47,32.033876203499595,438.63,One year,Bank transfer,-0.01802325272938249,98.44419535833683,0
2,24.694535714781303,629.74,Month-to-month,Mailed check,-0.8367004734171456,29.775415367224433,0
19,58.40906114912496, ,Month-to-month,Mailed check,0.6047592257382739,59.97044134081002,0
23,23.67319374266136,578.75,One year,Electronic check,-0.1654006421535298,77.64868813156667,0
53,115.72702629833256,1124.69,Month-to-month,Mailed check,0.9394390194675831,74.91578231765317,0
32,102.62056957939659,929.05,Month-to-month,Mailed check,-0.27959828674481496,32.877428749259074,0
23,100.07696871298751,1243.61,Month-to-month,Electronic check,-1.3623795198295092,61.08600835168504,1
71,82.97779229961532,5498.9,Month-to-month,Bank transfer,-1.4869600810362653,87.12646852701572,0
35,41.632402303655354,2351.85,One year,Electronic check,-1.9090095035579693,1.5447427733077945,0
37,71.82603666763922,1588.31,Month-to-month,Mailed check,0.6329578326099892,43.57343568433076,1
24,79.7274072430341,4645.72,One year,Electronic check,2.557730919268994,22.427341824190528,1
17,72.50315008602682,3327.9,Two year,Electronic check,0.4352381371851315,38.8632290398839,0
65,46.02333679515273, ,Month-to-month,Mailed check,1.672046882004341,41.598960797524164,1
53,71.52479243147259, ,nan,Mailed check,1.13357329078902,74.6670964786637,1
34,69.11863408686266,4169.38,One year,Electronic check,-0.5183360098740859,9.382187239544315,1
60,119.63357758067242,4758.26,One year,Mailed check,1.2653159809906256,51.25839031325105,1
40,109.74361480462039,885.85,One year,Mailed check,-0.47857469151251497,56.41947917987453,0
32,66.33807482156199, ,One year,Mailed check,-0.45870786953835907,49.41576035518044,0
67,82.29373829351186,1232.65,One year,Mailed check,-0.20859232593631016,73.18732530627202,0
32,94.78716040922285,5087.49,Month-to-month,Mailed check,-0.16119802232713012,38.37912559068474,0
13,23.486516023382492, ,Month-to-month,Mailed check,0.6613694631861474,94.49670636400761,0
20,109.49214412278398,5112.06,Month-to-month,Bank transfer,-0.6708867358908054,48.180344253894134,0
47,106.01268164179238,1249.56,Month-to-month,Electronic check,0.889102778582977,57.121390961479754,0
19,65.74320977737074,1366.17,Month-to-month,Mailed check,0.8747440830314708,82.55308233467494,0
7,59.11697660803798,4767.4,Month-to-month,Electronic check,0.34296353244448485,27.523610593112245,0
6,47.2959374856315,4530.97,Month-to-month,Bank transfer,1.9396119086074448,7.520202876280246,1
66,67.66768283303685, ,One year,Mailed check,1.2873926486583085,70.77839783624825,0
16,24.437666353323678, ,Two year,Electronic check,1.0697292902004647,48.301185554837865,0
32,105.21935333470077,440.72,nan,Mailed check,0.06615337454325149,89.65042509589948,0
47,23.542236841854507, ,Month-to-month,Mailed check,0.35176613781432575,98.26800487224341,0
58,52.9051365369871,2729.06,One year,Mailed check,0.5238073630877538,39.91093505747292,1
21,113.158948831899,1114.72,Two year,Mailed check,0.01324137352760527,41.543901625966086,0
29,93.52126545234528,8246.74,Month-to-month,Mailed check,-0.37556946030847094,40.79626022057264,0
37,48.13909605775268,4937.82,Month-to-month,Mailed check,-2.405712742876312,32.45541097309261,0
50,45.26490939608851,921.97,nan,Mailed check,0.7177654091248232,78.16870977663974,0
53,20.508213981802598,1962.95,One year,Bank transfer,1.0414472168833544,75.89957624907277,0
7,89.57142928497501,1511.08,Month-to-month,Bank transfer,-1.161118856156836,47.864487055052486,0
26,24.87835816731731,4741.31,Month-to-month,Mailed check,0.6051686497204916,4.466121637889875,0
26,73.26025194007622,3596.32,Month-to-month,Mailed check,-0.591526678317524,30.955930151307342,1
20,116.21219725920498,4867.67,Two year,Bank transfer,-0.3665291824070732,29.230304655483753,0
29,30.94688600544539,3564.19,One year,Bank transfer,1.3107605273633538,81.10872462002584,0
27,109.44799309680674,1118.05,Month-to-month,Bank transfer,-0.9906343902140138,8.757557341617472,0
63,119.14753351450481,70.15,Month-to-month,Mailed check,-0.9921477886932202,80.56753790427041,0
68,26.151702623923505,162.53,One year,Electronic check,1.804834365643998,66.9183652199143,0
60,108.29062691374612,102.57,One year,Electronic check,-0.14555669853638353,73.24414591304492,0
47,71.60790204436167,227.06,Month-to-month,Electronic check,1.2465455932310676,43.22131875850235,1
18,110.651371944458,2731.77,Two year,Electronic check,-1.5987028618289345,67.97257960017582,0
3,77.13189419195741,4609.43,Month-to-month,Mailed check,-1.5186032695908531,60.902894470691585,1
34,86.21120101065647,2649.58,Month-to-month,Electronic check,-0.9129445155784212,76.89801952286295,0
63,74.37789079973993, ,One year,Bank transfer,-0.48146077653268887,44.67698344682521,1
48,106.44928803073485,253.97,Month-to-month,Bank transfer,-1.403286596653112,47.282562489630244,0
16,93.39099189537018,1199.43,Two year,Electronic check,0.3692964764299996,64.35762227398202,0
43,72.12603121804149,1033.04,One year,Bank transfer,0.4345941686567821,10.80774936663883,0
29,106.8160804051547,177.2,One year,Mailed check,-0.8981428778385375,43.62444483643173,1
45,44.52855322553346,2700.85,Month-to-month,Electronic check,-0.8185986993908019,97.19508452598056,1
5,35.7340659702526,1100.98,Month-to-month,Electronic check,-0.6867814338515613,3.7552320060045608,0
36,36.040010533007205,3518.48,Month-to-month,Mailed check,-1.1648857988930412,31.60047228663938,0
23,53.40088787452379,504.43,One year,Bank transfer,-2.8955576999779176,31.410981908937075,0
45,43.86900313010175,1185.78,One year,Mailed check,-0.08504030614486552,63.346411923577264,0
52,113.00903505097386,805.5,Two year,Mailed check,-0.4304376927009767,10.58003594241399,0
59,30.5834093828584, ,One year,Bank transfer,-0.3281458448265735,62.85440308788611,1
62,89.89907380395877, ,nan,Mailed check,-1.011803521008772,9.504024065161943,0
31,38.92215397850059,0.0,One year,Bank transfer,0.810497499150267,9.4953647418331,0
32,108.16371327703501,3307.47,Month-to-month,Bank transfer,2.425391589417081,72.81833571884823,0
66,116.13152881849074,1755.08,Month-to-month,Mailed check,-0.8340848560211556,32.41351738327963,0
17,66.54700087699835, ,One year,Bank transfer,1.3996961389723481,97.74229477137479,0
24,107.90714802281316,486.48,Month-to-month,Mailed check,0.3666498121472938,3.735293643555493,0
53,20.514517075471478, ,Month-to-month,Bank transfer,0.03541989178243387,44.51066637179941,0
57,101.99469174081001, ,One year,Electronic check,-0.34412273656283127,11.313593767402363,1
66,42.86251615249235,2659.13,Two year,Bank transfer,-0.08321687023399217,35.137896675810865,0
45,110.87013092693678,5414.22,Month-to-month,Bank transfer,1.1495906896986263,99.82224506090506,0
23,20.11201114801095, ,One year,Mailed check,-1.1380809609565123,88.88425117385317,0
31,75.6181735039757, ,Two year,Bank transfer,-0.27500673115145136,4.8324408855396905,1
46,95.66358037849346,2364.65,Month-to-month,Electronic check,1.2490002078225029,56.32558438256834,1
22,45.868833069790796, ,Month-to-month,Electronic check,0.9837146935279972,64.78223048244357,0
65,39.31328645872931,7975.42,Month-to-month,Bank transfer,-1.1225859389502435,20.95346239501257,0
26,28.409822446798465,1260.61,One year,Bank transfer,-0.18259187778104524,14.510557339645025,1
1,52.6433576503293, ,One year,Electronic check,0.7280078478340273,90.43811346655234,0
16,75.98443123088295,3678.61,Two year,Mailed check,0.6634281193210969,96.88164414833767,0
32,31.584385678025768,528.7,One year,Electronic check,0.9751345212432878,99.18928573196418,1
8,57.66953619867988,260.05,Month-to-month,Electronic check,0.38428588816729775,78.97617737346346,1
42,20.907240465272498,7062.63,Month-to-month,Bank transfer,0.551953147995784,66.35020694052571,0
47,101.86794204998418,242.5,One year,Bank transfer,0.3427964219271587,34.573025219299794,0
38,32.84487180931914,3664.15,Month-to-month,Electronic check,1.5797330775278906,17.139831232475245,0
41,48.334294826558164,589.48,Month-to-month,Mailed check,-0.42181117943121815,7.89805993662317,0
25,21.842771873821746,4457.42,Month-to-month,Electronic check,0.048191162945217164,69.3297468551492,1
49,63.22407838925123,1676.21,Month-to-month,Electronic check,-1.0149688323177093,78.47234151793583,1
24,104.01215027412188,782.18,Month-to-month,Mailed check,-1.2120217668044124,82.645365245498,1
23,59.21512114451966,2628.86,Month-to-month,Electronic check,0.32495670105838087,91.37650033037986,0
12,37.94973234238334,3310.64,Month-to-month,Electronic check,-0.7241862659418522,87.99295636383737,0
59,95.36988340505192,54.81,Month-to-month,Bank transfer,-0.05768560289735612,99.97412722580926,0
6,98.88069818707443, ,One year,Mailed check,1.6177493105242091,24.406401096725126,0
